ID P.F,NOMBRE FANTASIA,PROV,DEP,SEGMENTO,SUBSEGMENTACION,STOCK ROLLO,STOCK RESMA,STOCK SUBE,STOCK PRISMA
12949078,1000-TON,CHACO,1,N,2,"4,039","0,468","0,000","0,000"
12649612,1973 MULTIESPACIO DE JUEGOS,CORDOBA,1,N,2,"0,000","0,000","0,000","0,000"
6949914,24 7 LIBRERIA,CORDOBA,1,5.D,6,"0,000","0,000","0,000","0,000"
13049646,24 SAN MARTIN CORDOVA,BUENOS AIRES,1,5.D,6,"3,404","0,000","0,000","3,969"
13049647,24 SAN MARTIN ILLIA,BUENOS AIRES,1,5.D,6,"3,796","0,000","0,000","3,983"
13049771,24 SAN MARTIN IRIGOYEN,BUENOS AIRES,1,5.D,6,"-0,005","0,000","0,000","-0,001"
13049645,24 SAN MARTIN MORENO,BUENOS AIRES,1,5.D,6,"3,792","0,000","0,000","3,994"
13049770,24 SAN MARTIN REINOSO,BUENOS AIRES,1,5.D,6,"0,000","0,000","0,000","0,000"
9749893,24/7 KIOSCO,CORDOBA,1,5.D,6,"5,721","0,000","0,000","4,000"
12449711,2DO ESCALON,SANTA FE,1,N,2,"2,688","6,021","0,000","2,000"
12849610,2G DRUGSTORE,TUCUMAN,1,N,2,"4,406","0,104","0,000","0,000"
6149691,2MARKET DC,TUCUMAN,1,N,2,"0,815","0,000","0,000","1,930"
12649646,30 AL 6 SAN MARTIN,CAPITAL FEDERAL,1,1.VIP,2,"14,948","0,000","0,000","3,735"
12649331,33 DE MANO 1,CHACO,1,2.A,3,"0,766","0,270","0,000","4,740"
12649330,33 DE MANO 2,CHACO,1,5.D,6,"2,690","0,500","0,000","0,000"
8749175,38169,MENDOZA,1,3.B,4,"9,243","1,538","0,000","22,000"
11949873,385,SANTIAGO DEL ESTERO,1,1.VIP,2,"3,043","0,624","0,000","4,725"
5349495,3SUPERMERCADO,CATAMARCA,1,4.C,4,"0,927","0,500","0,000","0,000"
12049832,4 DE MARZO III,BUENOS AIRES,1,N,2,"1,410","1,222","0,000","0,000"
13049437,4 DULCES,RIO NEGRO,1,5.D,6,"9,984","0,000","0,000","6,100"
12849723,4 ESTACIONES,FORMOSA,1,3.B,4,"2,624","0,906","0,000","5,876"
12849757,5 ESQUINAS,BUENOS AIRES,1,2.A,3,"5,125","3,362","0,000","2,835"
6949823,9 DE JULIO KIOSCO Y  LIBRERIA,BUENOS AIRES,1,4.C,4,"0,830","0,000","0,000","1,798"
12749642,9 DE JULIO PAGOS,BUENOS AIRES,1,5.D,6,"-0,208","0,000","0,000","-0,100"
7649031,923 VCP,CORDOBA,1,4.C,4,"2,237","0,000","0,000","7,958"
8149873,A & A,CHUBUT,1,5.D,6,"-0,020","0,000","0,000","-0,010"
7249226,A LA PIPETUA 2,LA PAMPA,1,5.D,6,"-0,104","0,000","0,000","3,962"
